18317	2
334	22.8239454	40.700822
335	22.8481521	40.6904023
336	22.8819076	40.6520549
337	22.9352758	40.6426976
338	22.9352945	40.6442223
339	22.9964866	40.5675535
340	22.9906029	40.5737953
341	22.9865463	40.5779098
342	22.9848871	40.5795437
343	22.9820067	40.5846028
344	22.9835801	40.6026348
345	22.9820011	40.6024804
346	22.9935867	40.6002759
347	22.9942648	40.6000932
348	23.0043323	40.5959997
349	23.0091411	40.5936901
350	23.0110977	40.5937031
351	23.0116614	40.5935176
352	23.0151186	40.591776
353	23.0156336	40.592727
354	23.0179652	40.5915937
355	23.0196049	40.5881539
356	23.0214764	40.5866183
357	22.964236	40.5840636
358	22.9701106	40.5861885
359	22.9705727	40.5865418
360	22.970838	40.5869554
361	22.9721005	40.5921558
362	22.9720529	40.5939096
363	22.9714994	40.5952913
364	22.9517818	40.5795442
365	22.9545155	40.5810221
366	22.9559649	40.5814739
367	22.9533333	40.5803905
368	22.9547923	40.5787358
369	22.9694131	40.5725307
370	22.9702416	40.5709685
371	22.9716782	40.5683577
372	22.9643851	40.5748084
373	22.965596	40.5751147
374	22.967645	40.5754962
375	22.9697079	40.5760561
376	22.9699168	40.5762448
377	22.9555526	40.5694649
378	22.9539668	40.5714833
379	22.9532197	40.5721516
380	22.9518325	40.573005
381	22.9438828	40.5778967
382	22.9428473	40.5785359
383	22.9402109	40.586173
384	22.9479027	40.5822254
385	22.9488822	40.5828839
386	22.9517336	40.5842612
387	22.9463706	40.5849057
388	22.9482596	40.5863145
389	22.9592627	40.5936474
390	22.9604413	40.5956411
391	22.9646257	40.5973083
392	22.9690023	40.5974793
393	22.9706946	40.5974572
394	22.9712955	40.5975154
395	22.958794	40.598623
396	22.9632996	40.5995783
397	22.9618613	40.6007175
398	22.962222	40.5999153
399	22.9630889	40.5980327
400	22.9639732	40.5955119
401	22.9623291	40.6016729
402	22.9626658	40.6009463
403	22.9636185	40.5988901
404	22.9577813	40.60648
405	22.9621132	40.6028199
406	22.9615191	40.6026682
407	22.9574594	40.6103648
408	22.9608224	40.6102617
409	22.9621191	40.6102219
410	22.9646003	40.610785
411	22.9583515	40.6103375
412	22.9589753	40.6089285
413	22.9597798	40.607111
414	22.9591171	40.6192019
415	22.9610063	40.6196996
416	22.9623874	40.6221253
417	22.9689625	40.6189117
418	22.9702193	40.617025
419	22.9731785	40.6162369
420	22.980861	40.6133542
421	22.9819143	40.612848
422	22.9823553	40.6127033
423	22.9860586	40.6114279
424	22.9597739	40.6107663
425	22.9640549	40.6122399
426	22.9674192	40.6133615
427	22.9691363	40.6139217
428	22.9753853	40.6196789
429	22.9785735	40.6185083
430	22.9774857	40.6168052
431	22.9860343	40.6073488
432	22.9856033	40.6068884
433	22.9851292	40.6064531
434	22.9814679	40.6095926
435	22.9788816	40.6142216
436	22.9791944	40.6126045
437	22.9797949	40.6094459
438	22.9747524	40.6057988
439	22.9763284	40.6079482
440	22.9796924	40.6090193
441	22.971269	40.6019522
442	22.9749374	40.602754
443	22.9761475	40.6026841
444	22.9736241	40.59469
445	22.9767594	40.5961543
446	22.9773216	40.59638
447	22.9778068	40.5965608
448	22.9786207	40.5968671
449	22.9892166	40.5973474
450	22.9758715	40.6005815
451	22.9464154	40.5874853
452	22.947454	40.5909786
453	22.9492529	40.5895472
454	22.9529781	40.5869079
455	22.9551642	40.5889541
456	22.9558174	40.5894339
457	22.9575802	40.5936069
458	22.9586605	40.5963309
459	22.9582553	40.5971709
460	22.9569644	40.6001988
461	22.9567686	40.600934
462	22.9565688	40.6016758
463	22.9563414	40.6025431
464	22.9558508	40.6036385
